"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역별(1)","특성별(1)",특성별(2),계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다,계,여성에 대한 사회적 편견,여성의 직업의식 책임감 부족,불평등한 근로여건(채용 임금 등),일에 대한 여성의 능력 부족,구인정보 부족,육아부담,가족돌봄(육아 제외),가사부담,기타,잘 모르겠다
"전국","혼인상태",배우자 있음,100.0,18.0,3.7,9.5,1.9,2.9,52.8,,6.4,0.0,4.8,100.0,17.5,3.8,10.3,1.6,2.2,53.1,,6.5,0.1,4.8,100.0,17.5,4.4,9.3,1.5,1.9,52.8,,6.8,0.0,5.9,100.0,18.1,3.9,10.0,2.0,1.3,53.3,,6.6,0.1,4.8,100.0,20.2,3.4,9.7,1.5,1.3,51.7,2.3,5.4,0.0,4.5,100.0,15.0,,11.2,,2.4,56.5,2.9,6.2,0.1,5.6
"전국","혼인상태",사? 별,100.0,12.9,2.0,5.5,1.6,2.8,52.5,,7.5,0.1,15.1,100.0,12.8,1.6,6.6,1.6,2.6,48.6,,8.1,0.2,17.8,100.0,13.7,2.3,5.8,1.5,1.7,47.0,,7.7,0.0,20.3,100.0,14.4,2.7,7.7,1.6,1.5,49.5,,8.3,,14.4,100.0,15.6,2.4,6.7,1.7,1.5,44.3,3.1,7.9,,16.7,100.0,13.8,,9.7,,2.0,47.0,3.8,7.5,0.1,16.1
"전국","혼인상태",이? 혼,100.0,20.2,4.9,12.8,2.1,4.2,39.1,,8.1,,8.6,100.0,19.5,4.2,11.7,2.7,2.6,38.9,,7.9,0.4,12.0,100.0,20.3,4.9,11.9,2.1,3.1,38.4,,6.8,0.0,12.5,100.0,21.1,3.5,14.8,1.9,1.6,40.4,,8.1,,8.7,100.0,22.3,3.8,11.9,2.4,2.1,40.8,2.7,5.9,0.2,8.0,100.0,17.3,,14.3,,2.9,45.2,3.1,6.5,0.3,10.5
"전국","경제활동상태",취? 업,100.0,20.4,4.4,11.1,2.0,2.6,49.0,,6.2,0.1,4.3,100.0,19.9,4.6,11.8,1.8,2.1,48.3,,6.5,0.1,4.9,100.0,19.4,5.3,10.7,1.7,1.8,48.8,,6.2,0.0,6.0,100.0,21.1,5.0,11.6,2.1,1.2,48.7,,5.9,0.1,4.3,100.0,23.1,4.4,10.9,1.7,1.2,47.6,2.2,4.7,0.0,4.0,100.0,16.7,,13.1,,2.2,52.9,2.7,5.9,0.3,6.3
"전국","경제활동상태",실업 및 비경제활동,100.0,21.5,3.2,10.1,1.8,2.7,45.8,,6.0,0.0,8.8,100.0,23.2,3.8,9.8,1.9,2.1,44.0,,5.8,0.1,9.5,100.0,22.6,4.2,9.1,1.6,1.8,43.6,,5.6,0.1,11.3,100.0,22.1,4.1,9.8,2.2,1.3,45.8,,5.9,0.1,8.8,100.0,23.8,3.4,9.3,1.8,1.5,43.6,2.2,5.3,0.1,9.0,100.0,19.3,,12.1,,2.3,47.2,2.8,5.7,0.3,10.2
"전국","맞벌이여부",맞벌이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,21.2,4.7,10.4,1.6,1.7,47.6,,6.2,0.0,6.5,100.0,22.3,4.4,11.3,2.3,1.1,48.5,,5.7,0.1,4.4,100.0,24.2,4.0,11.3,1.7,0.9,47.2,2.0,4.7,0.0,4.0,100.0,17.5,,13.3,,2.2,52.8,2.4,6.0,0.2,5.7
"전국","맞벌이여부",비맞벌이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,20.1,4.7,9.3,1.5,1.8,49.1,,6.0,0.0,7.5,100.0,20.0,4.4,10.1,2.1,1.2,49.6,,6.1,0.1,6.4,100.0,22.5,3.5,9.4,1.6,1.5,48.2,2.4,5.0,0.1,5.9,100.0,17.1,,11.3,,2.3,52.9,3.0,5.6,0.2,7.6
"전국","산업",농림어업,100.0,17.7,2.0,6.1,1.4,3.3,47.9,,8.6,0.2,12.9,100.0,13.2,1.7,8.2,2.7,2.5,51.6,,9.2,0.9,10.0,100.0,14.8,2.3,6.1,1.8,1.8,53.9,,9.7,,9.6,100.0,16.8,2.5,7.5,1.6,1.5,53.1,,8.8,,8.1,100.0,18.7,2.6,7.0,1.6,0.8,49.0,2.8,7.6,,9.9,100.0,17.1,,7.8,,2.4,48.5,3.5,10.1,0.1,10.5
"전국","산업",광업·제조업,100.0,21.5,4.8,11.8,1.7,2.8,48.1,,5.9,0.0,3.4,100.0,20.6,5.7,11.5,1.7,2.1,47.2,,6.0,0.1,5.0,100.0,19.4,6.9,11.3,1.5,1.5,47.1,,6.2,0.0,6.0,100.0,22.0,6.0,11.9,1.9,1.2,46.7,,5.7,0.1,4.5,100.0,23.8,4.9,10.9,1.7,1.3,46.4,2.1,4.4,0.0,4.4,100.0,17.5,,13.2,,2.6,52.6,2.3,5.1,0.4,6.3
"전국","산업",사회간접자본?기타서비스업,100.0,20.4,4.6,11.6,2.1,2.5,49.3,,6.0,0.0,3.5,100.0,20.5,4.7,12.3,1.8,2.0,48.2,,6.3,0.0,4.2,100.0,20.0,5.3,11.1,1.7,1.9,48.6,,5.8,0.0,5.5,100.0,21.2,4.9,11.9,2.2,1.2,48.9,,5.8,0.1,3.9,100.0,23.3,4.5,11.2,1.8,1.2,47.7,2.2,4.5,0.0,3.5,100.0,16.4,,13.5,,2.1,53.2,2.7,5.7,0.3,5.9
